,Code,Branch Name,Public
13,7 imje,"King Library, Ground Floor, IMC, Juv Easy",FALSE
13,8 imju,"King Library, Ground Floor, IMC, Juv",FALSE
13,9 imlng,"King Library, Ground Floor, IMC, Language Materials",FALSE
14,0 imm,"King Library, Ground Floor, IMC, Curriculum Materials",FALSE
14,1 imp,"King Library, Ground Floor, IMC, Periodical",FALSE
14,2 imprc,King Microfilm Guides,FALSE
14,3 imr,"King Library, Ground Floor, IMC, Reference",FALSE
14,4 imrdr,"King Library, Ground Floor, IMC, Readers",FALSE
14,5 imrs,"King Library, Ground Floor, IMC, Reserve",FALSE
14,6 imtst,"King Library, Ground Floor, IMC, Test",FALSE
14,7 imvc,"King Library, Ground Floor, IMC, Video Cassette",FALSE
14,8 imvr,"King Library, Ground Floor, IMC, VHS Library Use Only",FALSE
14,9 imvst,imc viewing stations,FALSE
15,0 jc2ug,John Carroll U.,FALSE
15,1 je2tg,Jefferson Technical Coll,FALSE
15,2 ke2bg,Kenyon College,FALSE
15,3 ke2pl,~Kent Free PL,FALSE
15,4 ke2ug,Kent State Univ,FALSE
15,5 kingd,King Library,FALSE
15,6 kngc,King Circulation,FALSE
15,7 kngcg,CIM Mini Studio Keys,FALSE
15,8 kngcm,CIM (112 KING),FALSE
15,9 kngco,King Library Laptops & Tablets (Circulation Desk,FALSE
16,0 kngd,King Display,FALSE
16,1 kngdc,King digital camera,FALSE
16,2 kngeq,King Library Digital Equipment (Circulation Desk),FALSE
16,3 kngfo,King Folio,FALSE
16,4 knggs,King grp study rm,FALSE
16,5 knghs,Hill storage cabinets,FALSE
,,,
,,Page 3,
16,6 kngke,King Library (internal use key),FALSE
16,7 kngl,KING,FALSE
16,8 kngle,King Leisure Reading,FALSE
16,9 kngli,King Library (2nd floor),TRUE
17,0 kngln,King newspapers,FALSE
17,1 kngnm,King notebook battery mac,FALSE
17,2 kngnp,King notebook battery pc,FALSE
17,3 kngp,King Periodical (ground floor),FALSE
17,4 kngpc,King power cord,FALSE
17,5 kngr,King Reference (Ground Floor),FALSE
17,6 kngrf,Kng Fac Read Rm Keys,FALSE
17,7 kngrg,Grad Reading Rm Key,FALSE
17,8 kngrm,King Library CD-ROM,FALSE
17,9 kngrr,"King Ready Ref. - 1st Floor, King Library",FALSE
18,0 kngrs,King Reserve,FALSE
18,1 kngsc,Duncan storage cabinets,FALSE
18,2 kngsu,King Library Supplies (Circulation Desk),FALSE
18,3 la2tg,Lakeland CC,FALSE
18,4 le2bg,Lake Erie College,FALSE
18,5 lo1bg,Lordes University,FALSE
18,6 lo2tg,Lorain County CC,FALSE
18,7 ma2bg,Malone College,FALSE
18,8 ma4bg,Marietta College,FALSE
18,9 mc1mh,Medical College of Ohio,FALSE
19,0 mcat,Mid Cataloging,FALSE
19,1 mda,Middletown Archives,FALSE
19,2 mdc,Middletown Circulation,FALSE
19,3 mdcmp,Middletown Laptops & Tablets,FALSE
19,4 mdd,Middletown Documents,FALSE
19,5 mddmp,Middletown Doc Map,FALSE
19,6 mddo,Middletown Ohio Doc,FALSE
19,7 mddrm,Middletown Doc CD-ROM,FALSE
19,8 mdeq,Middletown Equipment,FALSE
19,9 mdfcp,Middletown M'fiche Per,FALSE
20,0 mdfmp,Middletown M'Film Per,FALSE
20,1 mdfo,Middletown Folio,FALSE
20,2 mdgs,Middletown - Group Study Room Key,FALSE
20,3 mdim,Middletown IMC,FALSE
20,4 mdjcc,Mid JH Career Ctr.,FALSE
20,5 mdju,Middletown Juvenile,FALSE
20,6 mdl,MIDDLETOWN,TRUE
20,7 mdli,Middletown Campus,FALSE
20,8 mdmc,Middletown Makerspace,FALSE
20,9 mdn,Middletown New Books,FALSE
21,0 mdnmd,101 Thesken (Mid.),FALSE
21,1 mdp,Middletown Periodicals,FALSE
21,2 mdr,Middletown Reference,FALSE
21,3 mdrc,Middletown Recordings,FALSE
